ID,Name,city
874,Maya Butler,Omaha
875,Martin Widdows,Paris
876,Alan Mccormick,Innsbruck
877,Greta Bowen,Huntsville
878,Alexander Vollans,Laredo
879,Bart Jordan,Long Beach
880,Paige Pearce,Lisbon
881,Sofia Adams,Milano
882,Cecilia Reynolds,Lincoln
883,Florence Tanner,Atlanta
884,Barney Flynn,Columbus
885,Josh Devonport,Orlando
886,Manuel Hewitt,Richmond
887,Summer Wilcox,Salem
888,Manuel Chappell,Tokyo
889,Carter Exton,Boston
890,Payton Nobbs,Escondido
891,Adelaide Silva,Madrid
892,Jacob Eaton,Nashville
893,Michael Ainsworth,St. Louis
894,Roger Campbell,San Francisco
895,Percy Hope,Los Angeles
896,Emma Lane,Charlotte
897,Harvey Goodman,Cincinnati
898,Nick Turner,Tokyo
899,Gina Trent,Salem
900,Ron Khan,Baltimore
901,Cassidy Wild,Detroit
902,Roger Baker,Quebec
903,Oliver Oswald,Glendale
904,Luke Chester,Lakewood
905,Sebastian Lynn,Laredo
906,Erick Harrison,New York
907,Analise Rosenbloom,Fullerton
908,Liam Trent,Bucharest
909,Joy Umney,Houston
910,Rocco Turner,Lakewood
911,Lucas Simpson,Murfreesboro
912,Erick Vince,Washington
913,Erick Patel,Berna
914,Rosalee Wilcox,Lisbon
915,Doug Jarrett,San Francisco
916,Tyler Shaw,Venice
917,Adeline Mould,Paris
918,Alan Kidd,Kansas City
919,Adeline Gavin,San Diego
920,Ron Asher,Toledo
921,Sebastian Rowan,Columbus
922,Vanessa Baldwin,Fullerton
923,Josh Hogg,Bakersfield
924,Stella Janes,Moreno Valley
925,Carolyn Stanton,London
926,Marilyn Tyler,Hayward
927,Julia Leigh,Reno
928,John Farrow,Bridgeport
929,Kimberly Ogilvy,Escondido
930,Ramon Marshall,Oakland
931,Eduardo Palmer,Fremont
932,Olivia Phillips,Venice
933,Miriam Dixon,Fullerton
934,Logan Varndell,Cincinnati
935,Henry Hunter,Irving
936,Zoe Denton,Louisville
937,Mike Wright,Lyon
938,Gil Ross,Portland
939,Josh Norton,Hollywood
940,Hank Stevens,Escondido
941,Christy Donnelly,Bucharest
942,Rylee Stark,San Jose
943,Lily Cavanagh,Fayetteville
944,Trisha Harris,Colorado Springs
945,Roger Norris,Lyon
946,Daron Ellison,Henderson
947,Carter Attwood,Rochester
948,Laila Richardson,Jersey City
949,Dalia Nielson,Salt Lake City
950,Bryon Lane,Lancaster
951,Mayleen Jackson,Cincinnati
952,Kassandra Weatcroft,Ontario
953,Morgan Richards,Scottsdale
954,Matt Flynn,Seattle
955,Domenic Howard,Lancaster
956,Jacob Villiger,Atlanta
957,Rick Leslie,Tokyo
958,Cedrick Pope,Arlington
959,Sebastian Baxter,New York
960,Matthew Mann,Atlanta
961,Camden Hope,Boston
962,Nick Camden,Tokyo
963,Chloe Windsor,Stockton
964,Brad Roscoe,Detroit
965,Skylar Jacobs,Columbus
966,Lorraine Connell,Hollywood
967,Carissa Richards,Ontario
968,Enoch Villiger,London
969,Peter Briggs,Pittsburgh
970,Shay Bayliss,Innsbruck
971,Grace Warner,Hollywood
972,Chester Simpson,Amarillo
973,Louise Cooper,Bellevue
974,Emery Saunders,Fayetteville
975,Noemi Barclay,Pittsburgh
976,Alexander Locke,Lakewood
977,Rose Fleming,Honolulu
978,Bart Healy,Denver
979,Enoch Mann,New Orleans
980,Chris Lloyd,London
981,Hope Purvis,Arlington
982,Alexa Griffiths,Paris
983,Valentina Howard,Cincinnati
984,Janelle Hepburn,San Bernardino
985,Evie Kennedy,Garland
986,Ronald Clarke,Orlando
987,Chad Brett,Fullerton
988,Hope Russell,Salem
989,Mark Rixon,Dallas
990,George Stewart,Lyon
991,Chad Antcliff,Wien
992,Moira Matthews,Salt Lake City
993,Regina Ranks,Atlanta
994,Remy Egerton,Boston
995,Savannah Gilmour,Moreno Valley
996,Cynthia Whinter,Tokyo
997,Matthew Partridge,Kansas City
998,Evie Bradley,Columbus
999,Matthew Curtis,Toledo
1000,Angelina James,Salt Lake City
1001,Helen Isaac,Zurich
1002,Benny Palmer,Chicago
1003,Brad Walsh,Bellevue
1004,Eduardo Whatson,Escondido
1005,Florence Verdon,Long Beach
1006,Marissa Robinson,Salt Lake City
1007,Remy Aldridge,Hollywood
1008,Shelby Evans,Honolulu
1009,Kieth Brock,Innsbruck
1010,Isabel Mcgee,Berna
1011,Aleksandra Moran,Tallahassee
1012,Mona Truscott,New York
1013,William Kaur,Memphis
1014,Ally Moreno,San Francisco
1015,Maia Mould,Escondido
1016,Michelle Shelton,Phoenix
1017,David Thomas,Berna
1018,Willow Lunt,Boston
1019,Teagan Pierce,Lancaster
1020,Adalind Stanton,Lisbon
1021,Abdul Price,Louisville
1022,Penny Gilbert,Dallas
1023,Harry Chapman,Toledo
1024,Chanelle Khan,Moreno Valley
1025,Gloria Hunter,Valetta
1026,Hanna Santos,Nashville
1027,Barry Doherty,Toledo
1028,Cedrick Shields,Wien
1029,Kimberly Atkinson,Fort Lauderdale
1030,Oliver Morley,Washington
1031,Norah Bishop,Madrid
1032,Jane Wilde,Phoenix
1033,Johnny Funnell,Scottsdale
1034,Hank Richardson,Berlin
1035,Abdul Henderson,Stockton
1036,Aeris Weston,Saint Paul
1037,Rocco Long,Pittsburgh
1038,Phoebe Curtis,Zurich
1039,Josephine Whitehouse,Bellevue
1040,Meredith Rossi,Salem
1041,Dorothy Utterson,Sacramento
1042,David Gavin,Orlando
1043,Matthew Stevenson,Sacramento
1044,Rebecca Ulyatt,San Antonio
1045,Melody Ogilvy,Honolulu
1046,Grace Noon,Sacramento
1047,Daron Whatson,San Jose
1048,Vicky Ralph,St. Louis
1049,David Abbey,Jersey City
1050,Kieth Watt,Baltimore
1051,Chuck Faulkner,Garland
1052,Mason Lloyd,Rome
1053,Angel Owen,London
1054,Hanna Potts,Scottsdale
1055,Summer Weston,Amarillo
1056,Chuck Whitmore,Charlotte
1057,Ramon Roberts,Laredo
1058,Chloe Maxwell,Bellevue
1059,Georgia Weatcroft,Berna
1060,Penny Andersson,Long Beach
1061,Daron Simpson,Lyon
1062,Mike Hudson,Miami
1063,Aleksandra Trent,Cincinnati
1064,Phoebe Leigh,Madison
1065,Doug Vernon,Fort Lauderdale
1066,Karen Boyle,Baltimore
1067,Judith Wheeler,Seattle
1068,Chadwick Woodcock,Innsbruck
1069,Johnny Vernon,Las Vegas
1070,Raquel Rust,Baltimore
1071,William Rose,Phoenix
1072,Kieth Harper,Lancaster
1073,Grace Victor,Fort Lauderdale
1074,Domenic Saunders,Washington
1075,Macy Russell,Lincoln
1076,Kirsten Norman,Huntsville
1077,Lana Vincent,Lyon
1078,Carrie Weasley,Miami
1079,Bethany Goodman,Denver
1080,Elijah Tanner,Fullerton
1081,Raquel Durrant,Escondido
1082,Nate Baker,Springfield
1083,Nathan Summers,San Antonio
1084,Ramon Richards,Detroit
1085,Adalie Miller,Oklahoma City
1086,Gladys Dallas,Scottsdale
1087,Samara Pitt,Reno
1088,Ronald Lewis,Salem
1089,Savannah Rust,Irving
1090,Daniel Pond,Richmond
1091,Camellia Egerton,St. Louis
1092,Ivy Matthews,Venice
1093,Carrie Ellis,Ontario
1094,Nate Wild,Boston
1095,Goldie Veale,Minneapolis
1096,Cedrick Ellwood,Richmond
1097,Joyce Griffiths,Scottsdale
1098,Olivia Crawford,Huntsville
1099,Gabriel Barclay,Anaheim
1100,Liliana Cameron,Hayward
1101,Harmony Logan,Springfield
1102,Jocelyn Bennett,Hollywood
1103,Logan Coll,Milwaukee
1104,Alice Benson,Amarillo
1105,Johnathan Mullins,Los Angeles
1106,Natalie Vallins,Hayward
1107,Nathan Walker,Quebec
1108,Sebastian Porter,Albuquerque
1109,Chuck Edwards,El Paso
1110,Matt Dillon,Lakewood
1111,Chris Devonport,Fort Lauderdale
1112,Cherish Kidd,Pittsburgh
1113,Mandy Norton,Memphis
1114,Elly Fleming,Glendale
1115,Tara Quinnell,Nashville
1116,Maxwell Jackson,Bucharest
1117,Chloe Jarrett,Denver
1118,Carl Tennant,Lisbon
1119,Bryon Townend,Oakland
1120,Jane Emmett,Innsbruck
1121,Maia Roberts,Huntsville
1122,Ronald Calderwood,Arlington
1123,Chris Kelly,Minneapolis
1124,Elena Shaw,New York
1125,Denny Price,Memphis
1126,Caydence Robinson,El Paso
1127,George Raven,Wien
1128,Candice Cooper,San Jose
1129,Morgan Warden,Milwaukee
1130,Domenic Edwards,Tulsa
1131,Isla Neville,Dallas
1132,Leslie Bell,Bakersfield
1133,Julian Andersson,Chicago
1134,Cadence Yarlett,New York
1135,David Tate,Stockton
1136,Lily Glass,Indianapolis
1137,Vanessa Ward,Laredo
1138,Gemma Vallory,Jacksonville
1139,William Zaoui,Oklahoma City
1140,Celia Villiger,Anaheim
1141,Daniel Flett,Madison
1142,Caleb Alldridge,Los Angeles
1143,Alexander Janes,Toledo
1144,Dorothy West,Milwaukee
1145,Summer Mcnally,Tallahassee
1146,Liam Vallory,Rochester
1147,Shelby Yang,Innsbruck
1148,Marjorie Shelton,Jacksonville
1149,Morgan James,Toledo
1150,Oliver Bell,Venice
1151,Maxwell Andrews,San Diego
1152,Rick Baxter,Hayward
1153,Tyson Clayton,Murfreesboro
1154,Livia Funnell,Fremont
1155,Carl Bradshaw,Lancaster
1156,Kirsten Morris,Jersey City
1157,Christy Gavin,Laredo
1158,Rosalyn Rogers,Lyon
1159,Jocelyn Eastwood,Jacksonville
1160,Marvin Simpson,Valetta
1161,Margaret Osman,San Antonio
1162,Rufus Moore,Columbus
1163,Ramon Thomas,Washington
1164,Marissa Boyle,Albuquerque
1165,Gwenyth Dixon,Anaheim
1166,Tiffany Ianson,Lisbon
1167,Bree Pitt,New Orleans
1168,Josh Yard,Wien
1169,Bart Lee,Indianapolis
1170,Adelaide James,St. Louis
1171,Enoch Rust,Lancaster
1172,Brad Wild,Lakewood
1173,Tom Allington,St. Louis
1174,Denny Khan,San Francisco
1175,Julian Exton,Moreno Valley
1176,Chris Lewin,Arlington
1177,Harvey Furnell,Salt Lake City
1178,Lana Coleman,Bucharest
1179,Lana Lindsay,Orlando
1180,Oliver Murphy,Worcester
1181,Aisha Hall,Quebec
1182,Hayden Greenwood,Santa Ana
1183,Anabel Baker,Valetta
1184,Hayden Dann,Ontario
1185,Emerald Neville,Jacksonville
1186,Joseph Rivers,New York
1187,Miley Bowen,Las Vegas
1188,Danny Rehman,San Antonio
1189,Domenic Roscoe,Norfolk
1190,Caitlyn Thompson,Fullerton
1191,Domenic Snow,Murfreesboro
1192,Julius Wright,Pittsburgh
1193,Ellen Janes,Hayward
1194,Caydence Ogilvy,Memphis
1195,Jayden Nobbs,Cincinnati
1196,Kamila Ogilvy,Laredo
1197,Elijah Carter,Long Beach
1198,Zoe Fox,Orlando
1199,Alexander Neal,Otawa
1200,Benny Griffiths,Laredo
1201,Gil Leigh,Washington
1202,Greta Mitchell,Anaheim
1203,Elise Eddison,Quebec
1204,Boris Coll,Madison
1205,Tyler Benson,Albuquerque
1206,Tom Cameron,Valetta
1207,Jackeline Addison,Hollywood
1208,Mike Upsdell,Pittsburgh
1209,Ellen Foxley,Lincoln
1210,Cara Savage,San Diego
1211,Rufus Tate,Sacramento
1212,Enoch Brock,Worcester
1213,Elena Ellis,Madison
1214,Daria Hancock,Philadelphia
1215,Lucy Allen,Orlando
1216,Kate Garner,Henderson
1217,Andie Norman,Rome
1218,Samara Ellis,Moreno Valley
1219,Russel Taylor,Fayetteville
1220,Josh Forth,Louisville
1221,Adalie Saunders,Charlotte
1222,Jessica Vass,San Diego
1223,Moira Marshall,Milwaukee
1224,Chadwick Ellery,Rochester
1225,Mark Ward,Arlington
1226,Tyson Stone,Boston
1227,Rosalie Rees,Bakersfield
1228,Meredith White,Anaheim
1229,Sara Blackwall,Milano
1230,Martin Vass,Chicago
1231,Martin Lynch,Moreno Valley
1232,John Reese,Philadelphia
1233,Rocco Alldridge,Salem
1234,Rocco Ingram,Murfreesboro
1235,Enoch Coleman,Venice
1236,Estrella Jackson,Glendale
1237,Lindsay Robe,Garland
1238,Martin Silva,Nashville
1239,Hope Mcgregor,Amarillo
1240,Ronald Exton,San Diego
1241,Mina Gonzales,Valetta
1242,Rita Lewin,Kansas City
1243,Marie Lewis,Memphis
1244,Hank Dillon,Philadelphia
1245,Carmen Murray,Washington
1246,Mona Stevens,Pittsburgh
1247,Harvey Lloyd,Murfreesboro
1248,Leslie Edler,Rochester
1249,Bob Wood,Dallas
1250,Celia Lynn,Lancaster
1251,Kurt Robinson,Glendale
1252,Noah Matthews,Las Vegas
1253,Rufus Kelly,Amarillo
1254,Owen Adams,El Paso
1255,Dasha Wallace,Columbus
1256,Sofie Dixon,Quebec
1257,Rita Hopkinson,Quebec
1258,Harvey Baker,San Jose
1259,Tyson Mcguire,Chicago
1260,Maxwell Vince,Houston
1261,David Norburn,Fullerton
1262,Nicholas Everett,Bellevue
1263,Joseph Nanton,Laredo
1264,Skylar Bryant,Henderson
1265,Alma Allington,Innsbruck
1266,Lily Bright,Laredo
1267,Analise Gates,New Orleans
1268,Hayden Cavanagh,Bellevue
1269,Ramon Hopkins,Huntsville
1270,Mike Dixon,Berna
1271,Mark Selby,Santa Ana
1272,Jack Brooks,Ontario
1273,Melania Kaur,Anaheim
1274,Aeris Thorpe,Escondido
1275,Karla Hewitt,Milwaukee
1276,Georgia Walker,Madison
1277,Carl Lynn,Rochester
1278,Martin Freeburn,Arlington
1279,Goldie Watt,Bellevue
1280,Martin Weston,Miami
1281,Nancy Phillips,Fremont
1282,Peyton Hardwick,Dallas
1283,Alessandra Page ,Memphis
1284,Danny Smith,Kansas City
1285,Brad Doherty,Madrid
1286,Sabrina Allwood,Boston
1287,Javier Cobb,Chicago
1288,Marvin Dunbar,Milwaukee
1289,Blake Gates,Nashville
1290,Louise Carter,Phoenix
1291,Mike Malone,Bucharest
1292,Brad Marshall,Venice
1293,Marvin Thomas,Houston
1294,Sasha Hogg,Las Vegas
1295,Allison Craig,Rochester
1296,Destiny Faulkner,Rome
1297,Wade Nash,Stockton
1298,Manuel Watson,Moreno Valley
1299,Elijah Plumb,Innsbruck
1300,Elly Wilcox,Bellevue
1301,Gabriel Leslie,Lancaster
1302,Martha Blackburn,Indianapolis
1303,Henry Shaw,Rome
1304,Carter Gordon,Oklahoma City
1305,Kieth Collins,Bellevue
1306,Tyson Morrow,Lancaster
1307,Danny Gardner,Tulsa
1308,Rihanna Thomas,Nashville
1309,Angelique Abbey,Innsbruck
1310,Sasha Wilcox,Atlanta
1311,Carissa Brock,Saint Paul
1312,Carol Jacobs,Boston
1313,Eve Henderson,Oklahoma City
1314,Ron Zaoui,Kansas City
1315,Lucas Burnley,Bucharest
1316,Boris Woodcock,Fullerton
1317,Violet Underhill,Otawa
1318,Ethan Adams,Dallas
1319,Chris Everett,Scottsdale
1320,Julius Archer,Arlington
1321,Lucas Yates,Richmond
1322,Melania Edwards,Las Vegas
1323,Denny Roberts,Denver
1324,Denis Parker,Kansas City
1325,Aileen Jobson,San Antonio
1326,Nicholas Broomfield,Lancaster
1327,Kamila Devonport,Minneapolis
1328,Liam Thorne,Wien
1329,Phoebe Bolton,Madison
1330,Bryon Glynn,Phoenix
1331,Jade Rogan,Quebec
1332,Harvey Richardson,Washington
1333,Matt Lunt,Madison
1334,Carl Woodcock,London
1335,Tony Quinn,Paris
1336,Bridget Freeburn,Reno
1337,Tyson Jackson,Paris
1338,Cherish Ianson,St. Louis
1339,Daron Hobbs,San Bernardino
1340,Judith Uddin,Lisbon
1341,Lynn Griffiths,Indianapolis
1342,Harmony Jarvis,Zurich
1343,Carter Jefferson,Detroit
1344,Karen Pierce,Salem
1345,Lorraine Penn,Memphis
1346,Liam Fox,Reno
1347,Owen Purvis,San Jose
1348,Mary Crawford,Cincinnati
1349,Adalind Amstead,Worcester
1350,Roger Baxter,Seattle
1351,Mara Oldfield,Lancaster
1352,Paige Nanton,Quebec
1353,Elijah Todd,Santa Ana
1354,Carmella Kerr,Houston
1355,Emerald Jeffery,Arlington
1356,Doug Newman,Garland
1357,Maxwell Chapman,Reno
1358,Rufus Styles,Washington
1359,Payton Nicholls,Glendale
1360,Abbey Connell,Springfield
1361,Destiny Mcnally,Milano
1362,Nathan Dunbar,Tulsa
1363,Enoch Russel,New York
1364,Marjorie Barclay,Salt Lake City
1365,Nancy Vollans,Tokyo
1366,Ruth Lakey,Cincinnati
1367,Kendra Butler,Berna
1368,Andie Nobbs,Fayetteville
1369,Elijah Jefferson,Stockton
1370,Doris Rogan,San Francisco
1371,Barney Whittle,Scottsdale
1372,Mason Ballard,Toledo
1373,Aurelia Furnell,Sacramento
1374,Mona Rixon,Colorado Springs
1375,Jack Yarwood,Wien
1376,Rocco Rowlands,Madrid
1377,Rosemary Myatt,Memphis
1378,George Richardson,Chicago
1379,Clint Harrington,Bridgeport
1380,Gil Mcneill,Las Vegas
1381,Barney Campbell,San Jose
1382,Chris Rehman,San Bernardino
1383,Tony Hall,San Francisco
1384,Alison Murphy,Salt Lake City
1385,Cedrick Morgan,New York
1386,Rick Osmond,Colorado Springs
1387,Johnathan Tindall,Colorado Springs
1388,Robyn Palmer,Philadelphia
1389,Hannah Shaw,Salt Lake City
1390,Mason Williams,Denver
1391,Beatrice Dixon,Chicago
1392,Anthony Varndell,Santa Ana
1393,Matt Gardner,San Jose
1394,Marla Ward,Fremont
1395,Jaylene Welsch,Laredo
1396,Kieth Ryan,Orlando
1397,Anais Osmond,Springfield
1398,William Penn,San Francisco
1399,Kurt York,Escondido
1400,Julia Simmons,Hayward
1401,Gabriel Fulton,St. Louis
1402,Barney Dale,Boston
1403,Ethan Gordon,Valetta
1404,Denny Emerson,Atlanta
1405,Parker Hooper,Tokyo
1406,Mandy West,Long Beach
1407,Brad Shelton,Nashville
1408,Goldie Gunn,Lancaster
1409,Harvey Edley,Dallas
1410,Sebastian Murray,New Orleans
1411,Rosemary Stuart,Wien
1412,Chuck Flett,Lyon
1413,Irene Duvall,Saint Paul
1414,Sylvia Yoman,Colorado Springs
1415,Bernadette Trent,Bellevue
1416,Lana Downing,Long Beach
1417,Kirsten Flanders,Salem
1418,Alexander Santos,Norfolk
1419,Daron Rixon,Boston
1420,Rowan Healy,Bridgeport
1421,Matt Noach,San Francisco
1422,Ethan Thomas,Rome
1423,Michaela Silva,Milano
1424,Liam Partridge,Fort Lauderdale
1425,Elena Griffiths,Sacramento
1426,Gloria Holt,Chicago
1427,Barney Keys,San Bernardino
1428,Carl King,Bucharest
1429,Gabriel Mullins,Wien
1430,Harry Stewart,Jersey City
1431,Chuck Bowen,Glendale
1432,Hazel Woodley,Seattle
1433,Bryon Vincent,Fort Lauderdale
1434,Carl Swift,Philadelphia
1435,Clint Gray,Madison
1436,Oliver Gardner,Zurich
1437,Ethan Gilbert,Tulsa
1438,Lorraine Rixon,Reno
1439,Molly Farrant,Milano
1440,Elise Pond,San Diego
1441,Chuck Jacobs,Omaha
1442,Jacob Nobbs,Laredo
1443,Denny Stewart,Charlotte
1444,Sloane Lynn,Portland
1445,Christine Rixon,Oklahoma City
1446,Kimberly Oliver,Berna
1447,Hank Oakley,Miami
1448,Cynthia Kent,Innsbruck
1449,Alex Hall,San Bernardino
1450,Alison Lyon,Hollywood
1451,Matt Mooney,St. Louis
1452,Abdul Giles,Ontario
1453,Phoebe Vass,Amarillo
1454,Mark Phillips,Portland
1455,Destiny Dallas,Milwaukee
1456,Chanelle Whittle,Bellevue
1457,Carissa Watson,San Jose
1458,Eden Farrant,St. Louis
1459,Chris Weasley,Albuquerque
1460,Luke Evans,Lakewood
1461,Angel Reading,Chicago
1462,Ryan Willson,Springfield
1463,Anthony Varley,Lisbon
1464,Charlotte Shepherd,Long Beach
1465,Meredith Ebbs,Huntsville
1466,Barney Mcneill,Valetta
1467,Rosa Sylvester,Murfreesboro
1468,Aeris Paterson,Glendale
1469,Rosalie White,Amarillo
1470,Erick Gosling,Memphis
1471,Enoch Underhill,Omaha
1472,Barry Khan,Laredo
1473,Kenzie Ogilvy,Anaheim
1474,Russel Plumb,Saint Paul
1475,Ally Plumb,Reno
1476,Anne Cowan,San Jose
1477,Abdul Hooper,Bakersfield
1478,Mona Barrett,Huntsville
1479,Dorothy Hardwick,Santa Ana
1480,Kieth Weatcroft,Fullerton
1481,Rufus Robinson,Sacramento
1482,Bart Hood,Cincinnati
1483,Matthew Savage,Richmond
1484,Karen Thornton,Bellevue
1485,Aiden Blackburn,Kansas City
1486,Alba Drew,Pittsburgh
1487,George Connor,Los Angeles
1488,Marjorie Brown,Stockton
1489,Sarah Verdon,Madrid
1490,Greta Stone,Jersey City
1491,Carl Shepherd,Lyon
1492,Tom Long,Lyon
1493,Bree Gosling,Reno
1494,Elisabeth Stanton,Saint Paul
1495,Sara James,Fayetteville
1496,Cara Thorpe,Kansas City
1497,Carina Marshall,Denver
1498,Maggie Yarwood,Albuquerque
1499,William Turner,Jersey City
1500,Lucas Pierce,Bakersfield
1501,Adelaide Eyres,Rome
1502,Ron Hill,Seattle
1503,Russel Clarke,Saint Paul
1504,Carina Waterson,Reno
1505,Daphne Davies,New York
1506,Mark Redwood,El Paso
1507,Domenic Nielson,Phoenix
1508,Jennifer Hood,Otawa
1509,Clint Ward,Dallas
1510,Stephanie Bolton,Pittsburgh
1511,Doris Knott,San Jose
1512,Alessandra Needham,Lyon
1513,Benjamin Murphy,New Orleans
1514,Gwen Walter,San Antonio
1515,Angela Moreno,Oklahoma City
1516,Boris Hopkinson,Springfield
1517,Harry Tait,Hayward
1518,John Poole,Milwaukee
1519,Doug Neal,Innsbruck
1520,Emerald Eagle,Moreno Valley
1521,Ellen Amstead,Garland
1522,Denny Tait,Madison
1523,Marvin Campbell,Tallahassee
1524,Kurt Dann,San Diego
1525,Davina Ingram,Ontario
1526,Gil Marshall,San Bernardino
1527,Lucas Trent,Colorado Springs
1528,Russel Clayton,Jacksonville
1529,Sydney Nielson,Oakland
1530,Chester Donnelly,Boston
1531,Audrey Roberts,Columbus
1532,Cara Potter,Fayetteville
1533,Bart Addison,Fullerton
1534,Lucy Kaur,Berna
1535,Johnathan Huggins,Atlanta
1536,Javier Umney,Seattle
1537,Aisha Patel,Oklahoma City
1538,Daron Shepherd,Omaha
1539,Danielle Tate,Detroit
1540,Ivy Button,Milwaukee
1541,Oliver Locke,Murfreesboro
1542,Helen Coll,Sacramento
1543,Michael Walsh,Atlanta
1544,Matt Thomson,Atlanta
1545,Danielle Watt,Detroit
1546,Harmony Wilson,Sacramento
1547,Carolyn Donnelly,Nashville
1548,Rosie Judd,Milwaukee
1549,Roger Ballard,Ontario
1550,Nina Hobbs,Washington
1551,Alex Cunningham,Memphis
1552,Michaela Freeburn,Louisville
1553,Emma Morrow,Miami
1554,Alexander Thornton,Seattle
1555,Chester Dempsey,Hollywood
1556,Amelia Shea,Prague
1557,Eileen Vaughan,Las Vegas
1558,Chad Truscott,Rochester
1559,Zoe Gilmore,Detroit
1560,Ronald Avery,San Antonio
1561,Margot Durrant,Santa Ana
1562,Carter Haines,Laredo
1563,Rufus Upsdell,Paris
1564,Alessia Umney,Las Vegas
1565,Hope Allington,Long Beach
1566,George Marshall,Bridgeport
1567,Barney Brennan,Garland
1568,Rufus Bolton,Long Beach
1569,Andie Khan,Nashville
1570,Javier Hogg,Memphis
1571,Nicholas Rees,Bridgeport
1572,Ellen Snell,Prague
1573,Nathan Mackenzie,Anaheim
1574,Estrella Overson,Honolulu
1575,Ryan Taylor,Boston
1576,Lucas Knight,Boston
1577,Alma Ranks,Atlanta
1578,Logan Adler,Oakland
1579,Rocco Mcguire,Fayetteville
1580,Benjamin Wooldridge,Santa Ana
1581,Clint Varndell,Bakersfield
1582,Cynthia Wood,Houston
1583,Caitlyn Patel,Los Angeles
1584,Wade Mason,San Bernardino
1585,Gabriel Brown,Nashville
1586,Leah Abbot,New Orleans
1587,Brad Hunter,Salt Lake City
1588,Denny Morgan,Boston
1589,Vanessa Forester,Denver
1590,Andrea Sylvester,Murfreesboro
1591,Danielle Hilton,Memphis
1592,Carter Rosenbloom,Colorado Springs
1593,Dorothy Todd,Escondido
1594,Tiffany Martin,Garland
1595,Martin Mcgregor,Arlington
1596,Mark Baxter,Memphis
1597,Anabel Forth,Charlotte
1598,Chad Myatt,Lisbon
1599,Eduardo Hope,Las Vegas
1600,Ruth Kaur,Baltimore
1601,Alexander Jones,Houston
1602,Adalind London,Lisbon
1603,Peter Yang,Columbus
1604,Lucas Darcy,Oakland
1605,Martin Shaw,Portland
1606,Owen Phillips,Santa Ana
1607,Faith Wooldridge,Jersey City
1608,Wade Gates,Stockton
1609,Benny Purvis,Innsbruck
1610,William Isaac,Colorado Springs
1611,Henry Reyes,Hollywood
1612,Colleen Baxter,Amarillo
1613,Rose Johnson,Anaheim
1614,Blake Asher,Lincoln
1615,Bernadette Yard,Milano
1616,Mike Harris,Baltimore
1617,Penny Bentley,Sacramento
1618,Jocelyn Morrow,Baltimore
1619,Lucas Norton,Moreno Valley
1620,Bryon Baxter,Scottsdale
1621,Kieth Stewart,Pittsburgh
1622,Luke Oliver,Saint Paul
1623,Cassidy Thompson,Minneapolis
1624,Manuel Hill,Orlando
1625,Bernadette Hopkins,Bridgeport
1626,Lucy Uttley,Arlington
1627,Erin Morley,Bucharest
1628,Barry Cattell,Paris
1629,Rosie Carson,London
1630,William Oliver,Lisbon
1631,Erick Latham,Washington
1632,Tom Uddin,Indianapolis
1633,Carissa Robinson,Phoenix
1634,Elena Howard,Atlanta
1635,Aiden Stewart,Los Angeles
1636,Mya Andrews,London
1637,Michael Quinton,Escondido
1638,Sabrina Poole,Nashville
1639,Bob Rust,San Antonio
1640,Mike Gonzales,San Jose
1641,Noah Vallins,Berlin
1642,Tiffany Antcliff,Richmond
1643,Summer Vaughan,Rome
1644,Chuck Widdows,New York
1645,Kamila Lewis,Amarillo
1646,Margaret Hobbs,Las Vegas
1647,Roger Holt,Jersey City
1648,Gwenyth Ellwood,Salt Lake City
1649,Anthony Quinn,Laredo
1650,Phillip Rosenbloom,Columbus
1651,Cedrick Barclay,Dallas
1652,Noah Noon,Madrid
1653,Lucy Speed,Seattle
1654,Alexander Gordon,Colorado Springs
1655,Sabrina Bullock,Cincinnati
1656,Rylee Vaughn,Berna
1657,Nathan Pond,Cincinnati
1658,Enoch Eastwood,Worcester
1659,Aiden Baxter,Quebec
1660,Kurt Woods,Jacksonville
1661,Lindsay Davies,Norfolk
1662,Valentina Hammond,Honolulu
1663,Bob Knight,Otawa
1664,Felicity Smith,Bucharest
1665,Alan Notman,Bellevue
1666,Daniel Garcia,Hayward
1667,Kieth Rees,Rochester
1668,Chris Calderwood,Phoenix
1669,Russel Ainsworth,San Jose
1670,Gil Tanner,San Bernardino
1671,Marina Page ,Henderson
1672,Peter Fall,Escondido
1673,Morgan Redwood,Los Angeles
1674,Brad Aldridge,Tulsa
1675,Susan Taylor,Saint Paul
1676,Alan Harvey,Norfolk
1677,Kate Kirby,Hollywood
1678,Karen Vaughan,Colorado Springs
1679,Juliet Goldsmith,Kansas City
1680,Trisha Thorne,Milano
1681,Davina Mitchell,Innsbruck
1682,Barney Russell,Zurich
1683,Julian Watson,Irving
1684,Leroy Pickard,Cincinnati
1685,Jayden Gordon,Wien
1686,Chester Connor,Garland
1687,Sylvia Jenkin,Salem
1688,Juliette Hilton,Saint Paul
1689,Caleb Baldwin,Philadelphia
1690,Teagan Wright,Anaheim
1691,Matthew Patel,San Bernardino
1692,Alex Wallace,Henderson
1693,Claire Vass,Seattle
1694,Ron Wright,Otawa
1695,Tess Wooldridge,Fullerton
1696,Chadwick Cann,Nashville
1697,Liliana Andrews,Murfreesboro
1698,Abbey Ogilvy,Miami
1699,Kurt Lakey,Dallas
1700,Marigold Bradley,Milano
